date, open, high, low, close, volume
2018.04.23 09:33,1.22754,1.22754,1.22722,1.22726,90,0
2018.04.23 09:34,1.22726,1.22743,1.22723,1.22733,79,0
2018.04.23 09:35,1.22733,1.22733,1.22719,1.22720,53,0
2018.04.23 09:36,1.22720,1.22728,1.22716,1.22725,51,0
2018.04.23 09:37,1.22725,1.22725,1.22710,1.22710,66,0
2018.04.23 09:38,1.22710,1.22710,1.22688,1.22694,70,0
2018.04.23 09:39,1.22694,1.22703,1.22688,1.22699,63,0
2018.04.23 09:40,1.22699,1.22724,1.22699,1.22717,48,0
2018.04.23 09:41,1.22716,1.22733,1.22711,1.22733,75,0
2018.04.23 09:42,1.22733,1.22740,1.22723,1.22723,49,0
2018.04.23 09:43,1.22723,1.22723,1.22716,1.22716,28,0
2018.04.23 09:44,1.22715,1.22719,1.22709,1.22709,39,0
2018.04.23 09:45,1.22709,1.22709,1.22688,1.22688,89,0
2018.04.23 09:46,1.22688,1.22715,1.22683,1.22715,37,0
2018.04.23 09:47,1.22715,1.22730,1.22712,1.22727,48,0
2018.04.23 09:48,1.22727,1.22742,1.22720,1.22730,50,0
2018.04.23 09:49,1.22730,1.22742,1.22729,1.22730,64,0
2018.04.23 09:50,1.22730,1.22730,1.22721,1.22721,34,0
2018.04.23 09:51,1.22721,1.22727,1.22721,1.22721,16,0
2018.04.23 09:52,1.22721,1.22721,1.22712,1.22716,29,0
2018.04.23 09:53,1.22716,1.22722,1.22713,1.22722,15,0
2018.04.23 09:54,1.22722,1.22774,1.22722,1.22770,134,0
2018.04.23 09:55,1.22770,1.22784,1.22768,1.22768,108,0
2018.04.23 09:56,1.22768,1.22772,1.22754,1.22754,59,0
2018.04.23 09:57,1.22754,1.22758,1.22750,1.22752,42,0
2018.04.23 09:58,1.22753,1.22770,1.22753,1.22767,57,0
2018.04.23 09:59,1.22767,1.22767,1.22735,1.22738,163,0
2018.04.23 10:00,1.22738,1.22826,1.22738,1.22795,416,0
2018.04.23 10:01,1.22795,1.22838,1.22789,1.22821,253,0
2018.04.23 10:02,1.22820,1.22857,1.22819,1.22856,210,0
2018.04.23 10:03,1.22855,1.22856,1.22832,1.22835,86,0
2018.04.23 10:04,1.22835,1.22866,1.22833,1.22853,95,0
2018.04.23 10:05,1.22853,1.22878,1.22844,1.22870,181,0
2018.04.23 10:06,1.22870,1.22895,1.22860,1.22894,130,0
2018.04.23 10:07,1.22894,1.22894,1.22876,1.22882,133,0
